name,url,level,rating,price
CLEAN TOP TUTOR PARTNER USA PROFILE DONE 80+ ORDERS RATED 98% WITH WRITING AND COMPUTER SCIENCE BADGES,https://accountsplace.co.ke/ads/clean_top_tutor_partner_usa_profile_done_80_orders_rated_98_with_writing_and_computer_science_badges1683493240,Top,98%,"KES 136,000"
New Writershub Probation Zero Orders,https://accountsplace.co.ke/ads/new_writershub_probation_zero_orders1685520170,New,Zero Orders,"KES 13,000"
new transcribeme  account,https://accountsplace.co.ke/ads/new_transcribeme_account1685519535,new,new,"KES 8,000"
new scribie account @1k ony,https://accountsplace.co.ke/ads/new_scribie_account_at_1k_ony1685519465,4,4,"KES 1,000"
nerdyturtlez * finance/stats/maths  *chemistry/biology/finance  *biology/finance   IT/database/networking    - both group accounts,https://accountsplace.co.ke/ads/nerdyturtlez_financestatsmaths_chemistrybiologyfinance_biologyfinance_itdatabasenetworking_both_group_accounts1685516889,new,100%,"KES 11,000"
Nipewe Edusson Advance with a good composite Score,https://accountsplace.co.ke/ads/nipewe_edusson_advance_with_a_good_composite_score1685516811,Advance,4.8+,"KES 120,000"
Writershub Senior account on sale,https://accountsplace.co.ke/ads/writershub_senior_account_on_sale1685516447,Senior,40+ KPI,"KES 58,000"
Edusson,https://accountsplace.co.ke/ads/edusson1685515967,INTERMEDIATE,5/5,"KES 143,000"
Nerdy Turtlez Non Tech,https://accountsplace.co.ke/ads/nerdy_turtlez_non_tech1685515892,MPYA,0.7/0.7,"KES 19,000"
Fiverr level 2 on sale done 100 orders 4.9 psychology major,https://accountsplace.co.ke/ads/fiverr_level_2_on_sale_done_100_orders_49_psychology_major1685512381,Used,Used,"KES 35,000"
"*Uvocorp Pro Mentor on sale.*    👉 After successful mentorship program, the account will be promoted to Pro level, 100%.  👉If one fails the mentorship program, the account is reinstated to  Expert level, 80%.   Grab it:",https://accountsplace.co.ke/ads/uvocorp_pro_mentor_on_sale_after_successful_mentorship_program_the_account_will_be_promoted_to_pro_level_100_if_one_fails_the_mentorship_program_the_account_is_reinstated_to_expert_level_80_grab_it1685512322,Used,Used,"KES 120,000"
Nerdy Turtles Nursing,https://accountsplace.co.ke/ads/nerdy_turtles_nursing1685333455,New,50,"KES 18,000"
"Academia Research, Senior Advanced",https://accountsplace.co.ke/ads/academia_research_senior_advanced1685323999,Senior Advanced,9.26/10 🔥,"KES 125,000"
VIP WRITERS BRAND NEW CPP$5+ AVAILABLE.,https://accountsplace.co.ke/ads/vip_writers_brand_new_cpp5_available1685301169,NEW,,"KES 11,000"
Uvocorp Pro,https://accountsplace.co.ke/ads/uvocorp_pro1685297694,pro,100,KES 0
ESSAYSHARK,https://accountsplace.co.ke/ads/essayshark1685297063,GOOD,10/10,"KES 44,000"
"QUICK SALE!! ACADEMIA RESEARCH SENIOR ADVANCED; HISTORY, BUSINESS & MANAGEMENY/HEALTH SCIENCE & NURSING, 70 ORDERS 8.5/10 AVAILABLE.",https://accountsplace.co.ke/ads/quick_sale_academia_research_senior_advanced_history_business_managemenyhealth_science_nursing_70_orders_8510_available1685292666,SENIOR ADVANCED LEVEL,,"KES 116,000"
"ESSAYPRO RATED 100% 5-STAR 600+ ORDERS RANKED TOP 50 BIDDING LIMIT 90/24HRS, FRIENDLY MANAGER. QUOTED PRICE IS NEGOTIABLE.",https://accountsplace.co.ke/ads/essaypro_rated_100_5_star_600_orders_ranked_top_50_bidding_limit_9024hrs_friendly_manager_quoted_price_is_negotiable1685292228,ACTIVE,100%,"KES 375,000"
"WRITERSHUB JUNIOR KPI 40, 25 ORDERS WITH 5 TAKES DAILY AVAILABLE.",https://accountsplace.co.ke/ads/writershub_junior_kpi_40_25_orders_with_5_takes_daily_available1685291971,JUNIOR LEVEL,100%,"KES 25,500"
ACADEMIA RESEARCH PREMIUM RATED 9.4\10 OVER 400 ORDERS WITH 8 ACTIVE SUBJECTS AVAILABLE.,https://accountsplace.co.ke/ads/academia_research_premium_rated_9410_over_400_orders_with_8_active_subjects_available1685291649,PREMIUM LEVEL,100%,"KES 155,000"
ESSAYSHARK KENYAN PROFILE BACHELORS A NON TECH. RATED 9\10 AFTER 20+ ORDERS AVAILABLE.,https://accountsplace.co.ke/ads/essayshark_kenyan_profile_bachelors_a_non_tech_rated_910_after_20_orders_available1685291120,BACHELORS A,100%,"KES 55,000"
WRITING CREEK BRAND NEW (EDUSSON'S AFFILIATE) CPP$5+ AVAILABLE.,https://accountsplace.co.ke/ads/writing_creek_brand_new_edussons_affiliate_cpp5_available1683918973,NEW,,"KES 68,000"
"STUDYPOOL PARTNER RISING STAR (USA) 100%, BUSINESS, HUMANITIES & WRITING BADGES AVAILABLE.",https://accountsplace.co.ke/ads/studypool_partner_rising_star_usa_100_business_humanities_writing_badges_available1683918783,RISING STAR ⭐,,"KES 100,000"
"EDUSSON ADVANCED RATED 4.8, 700+ ORDERS AVAILABLE. NEGOTIABLE.",https://accountsplace.co.ke/ads/edusson_advanced_rated_48_700_orders_available_negotiable1683918662,ADVANCED,,"KES 120,000"
OFFER!OFFER!! Guru account(writing),https://accountsplace.co.ke/ads/guru_account1683918329,New,New,"KES 12,000"
Used go transcript rated 5 with 18 unlocks,https://accountsplace.co.ke/ads/used_go_transcript_rated_5_with_18_unlocks1683911321,5,5,"KES 28,000"
Upwork account on sale hurry and own the account.,https://accountsplace.co.ke/ads/upwork_account_on_sale_hurry_and_own_the_account1683911066,New,New (possible rating from two potential clients),"KES 9,000"
Brand New Writerslab Female Profile,https://accountsplace.co.ke/ads/brand_new_writerslab_female_profile1683910803,Freshman,100/100,"KES 67,000"
"happy scribe rated 4,7 and speech pad rated 98",https://accountsplace.co.ke/ads/happy_scribe_rated_47_and_speech_pad_rated_981683909672,98,98,"KES 9,000"
amberscript account available,https://accountsplace.co.ke/ads/amberscript_account_available1683909572,new,new,"KES 20,000"
new and used go transcript  kenyan profile available,https://accountsplace.co.ke/ads/new_and_used_go_transcript_kenyan_profile_available1683909523,new,new,"KES 15,999"
"WRITERSHUB SENIOR 10 TAKES, DONE 60+ ORDERS, KPI 40 AVAILABLE",https://accountsplace.co.ke/ads/writershub_senior_10_takes_done_60_orders_kpi_40_available1685338785,SENIOR,KPI 40,"KES 60,000"
"Studypool standard level, rated 93%, completed over 40 orders, 5 key badges (Business, Health medical, Science, Economics, and Law)",https://accountsplace.co.ke/ads/studypool_standard_level_rated_93_completed_over_40_orders_5_key_badges_business_health_medical_science_economics_and_law1685338134,Standard,93%,"KES 20,000"
"Studypool Top Tutor, 14 orders, 100%, 3 badges (Business, Humanities and Health Medical)",https://accountsplace.co.ke/ads/studypool_top_tutor_14_orders_100_3_badges_business_humanities_and_health_medical1685337995,Top Tutor,100%,"KES 48,000"
"Studypool standard, 80+ orders, 94%, 5 badges (Humanities, Health medical, Economics, Math, and Comp Science)",https://accountsplace.co.ke/ads/studypool_standard_80_orders_94_5_badges_humanities_health_medical_economics_math_and_comp_science1685337967,Standard,94%,"KES 25,000"
"Studypool standard, 104 orders, 97%, 4 badges (Business, humanities, WRITING, and Law). Few orders to top tutor",https://accountsplace.co.ke/ads/studypool_standard_104_orders_97_4_badges_business_humanities_writing_and_law_few_orders_to_top_tutor1685337924,Standard,97%,"KES 35,000"
"Studypool Top Tutor, 13 orders, rated 100%, 2 subject badges (Humanities and Comp Science)",https://accountsplace.co.ke/ads/studypool_top_tutor_13_orders_rated_100_2_subject_badges_humanities_and_comp_science1685337886,Top Tutor,100%,"KES 43,000"
"Studypool Top Tutor, 950+ orders, 98%, 5 badges (Business, Humanities, Health Medical, Law, and Science). Comp science badge almost unlocking",https://accountsplace.co.ke/ads/studypool_top_tutor_950_orders_98_5_badges_business_humanities_health_medical_law_and_science_comp_science_badge_almost_unlocking1685337850,Top Tutor,98%,"KES 150,000"
"Studypool Standard acc, 110+ orders, 89%, 2 badges (Business and Humanities)",https://accountsplace.co.ke/ads/studypool_standard_acc_110_orders_89_2_badges_business_and_humanities1685337806,Standard,89%,"KES 11,000"
"Studypool Top Tutor, 350+ orders, rated 99%, 6 prime badges (Business, Humanities, WRITING, Health Medical, Economics, and Math). 75% of orders done are above $15",https://accountsplace.co.ke/ads/studypool_top_tutor_350_orders_rated_99_6_prime_badges_business_humanities_writing_health_medical_economics_and_math_75_of_orders_done_are_above_151685337759,Top Tutor,99%,"KES 115,000"
"Studypool Top Tutor, 86 orders, 98%, 5 prime badges (Business, humanities, WRITING, health medical, and Law). Active@",https://accountsplace.co.ke/ads/studypool_top_tutor_86_orders_98_5_prime_badges_business_humanities_writing_health_medical_and_law_active_at1685337127,Top Tutor,98%,"KES 85,000"
Studybay stage 5/5 active and Verified with 4 in progress @655k,https://accountsplace.co.ke/ads/studybay_stage_55_active_and_verified_with_4_in_progress_at_655k1681714452,SAGE,5/5,"KES 650,000"
"Nipewe content panel active, which have done several orders",https://accountsplace.co.ke/ads/nipewe_content_panel_active_which_have_done_several_orders1681714106,Active,Done several orders,KES 1
Studybay sage 3500 orders 5/5 very active 4 orders in progress,https://accountsplace.co.ke/ads/studybay_sage_3500_orders_55_very_active_4_orders_in_progress1681713996,Used,Used,"KES 650,000"
text royal available,https://accountsplace.co.ke/ads/text_royal_available1681712855,5,5,"KES 23,000"
"Nipee textbroker with RV rover, smart home or HVAC 4-star team.",https://accountsplace.co.ke/ads/nipee_textbroker_with_rv_rover_smart_home_or_hvac_4_star_team1681712812,4,4,KES 1
iwriter premium level new one,https://accountsplace.co.ke/ads/iwriter_premium_level_new_one1681712346,new,new,"KES 25,000"
Scribie,https://accountsplace.co.ke/ads/scribie1681712144,New,3,"KES 1,500"
crowd surf level 6 on quick sale,https://accountsplace.co.ke/ads/crowd_surf_level_6_on_quick_sale1681711341,6,6,"KES 130,000"
Textroyal enterprise,https://accountsplace.co.ke/ads/textroyal_enterprise1681709817,Enterprise,4.78,"KES 30,000"
Essaypro  rated 94% and 4.6,https://accountsplace.co.ke/ads/essaypro_rated_94_and_461681709683,Active,4.6,"KES 137,000"
"Studypool rising star, 21 orders, 100%, 4 badges (WRITING, Health medical, Science, and comp science)iko na 3k ndani",https://accountsplace.co.ke/ads/studypool_rising_star_21_orders_100_4_badges_writing_health_medical_science_and_comp_scienceiko_na_3k_ndani1683962991,Rising star,100%,"KES 36,000"
"Studypool standard, 150+ orders, 91%, 1 badge (Humanities)",https://accountsplace.co.ke/ads/studypool_standard_150_orders_91_1_badge_humanities1683962918,Standard,91%,"KES 14,000"
"Studypool Top Tutor, 72 orders, 100%, 5 badges (Business, Health medical, WRITING, Law, and Economics)",https://accountsplace.co.ke/ads/studypool_top_tutor_72_orders_100_5_badges_business_health_medical_writing_law_and_economics1683962843,Top Tutor,100%,"KES 95,000"
"Studypool Top Tutor, 30 orders, 97%, 3 badges (Business, Humanities and Economics)",https://accountsplace.co.ke/ads/studypool_top_tutor_30_orders_97_3_badges_business_humanities_and_economics1683962792,Top Tutor,97%,"KES 49,000"
Old werkit available,https://accountsplace.co.ke/ads/old_werkit_available1683960101,3.79,3.79,"KES 20,000"
Datagain legals and general,https://accountsplace.co.ke/ads/datagain_legals_and_general1683960053,2,2,"KES 12,000"
Old verbit available,https://accountsplace.co.ke/ads/old_verbit_available1683959960,4.1,3.92,"KES 30,000"
New  scribe account,https://accountsplace.co.ke/ads/new_scribe_account1683959919,New,5,"KES 2,500"
Normal reviewer and british reviewer,https://accountsplace.co.ke/ads/normal_reviewer_and_british_reviewer1683959866,4.1,4.1,KES 45
NANUNUA UVO PRO  RECENTLY EVALUATED.,https://accountsplace.co.ke/ads/uvo_pro_recently_evaluated1683957783,PRO,100%,KES 26
BRANDSEYE CROWD@DATAEQ ACC FOR SALE,https://accountsplace.co.ke/ads/brandseye_crowd_at_dataeq_acc_for_sale1680941850,2,91% ACCURACY,"KES 30,000"
Textbroker Level 3 USA,https://accountsplace.co.ke/ads/textbroker_level_3_usa1680939564,Used,Star 3,"KES 25,000"
Studypool standard,https://accountsplace.co.ke/ads/studypool_standard1680939309,Used,90,"KES 21,000"
WrittersHub Junior,https://accountsplace.co.ke/ads/writtershub_junior1680938837,Used,56,"KES 23,000"
"Scribie transcription, Reviewer.",https://accountsplace.co.ke/ads/scribie_transcription_reviewer_proofreader1680938484,Used,2.6,"KES 3,500"
Scribie transcription,https://accountsplace.co.ke/ads/scribie_transcription1680938402,Used,2.98,"KES 2,500"
Textbroker USA level 4,https://accountsplace.co.ke/ads/textbroker_usa_level_41680938294,4,Start 4,"KES 43,000"
Textbroker USA level 4,https://accountsplace.co.ke/ads/textbroker_usa_level_41680938216,4,Star 4,"KES 60,000"
Textbroker USA,https://accountsplace.co.ke/ads/textbroker_usa1680937992,3,3 Stsr,"KES 25,000"
scribie @2500 gt @15k,https://accountsplace.co.ke/ads/scribie_at_2500_gt_at_15k1680937760,new,new,KES 15
"Edusson Advanced 4.8 Completed 800 Orders, Has Payoneer",https://accountsplace.co.ke/ads/edusson_advanced_48_completed_800_orders_has_payoneer1684820962,.,.,"KES 117,000"
"Studypool standard, 120+ orders, rated 94%, 3 badges (Business, Humanities and Econ)",https://accountsplace.co.ke/ads/studypool_standard_120_orders_rated_94_3_badges_business_humanities_and_econ1684820930,Standard,94%,"KES 28,000"
"Studypool Top Tutor, 13 orders, rated 100%, 2 subject badges (Humanities and Comp Science)",https://accountsplace.co.ke/ads/studypool_top_tutor_13_orders_rated_100_2_subject_badges_humanities_and_comp_science1684820870,Top Tutor,100%,"KES 44,000"
"Studypool rising star, rated 100% after 6 orders, 2 badges (Humanities and Law)",https://accountsplace.co.ke/ads/studypool_rising_star_rated_100_after_6_orders_2_badges_humanities_and_law1684820812,Rising star,100%,"KES 24,000"
"Studypool standard, 140 orders, 92%, 5 badges (Business, Humanities, Health medical, Economics, and Excel)",https://accountsplace.co.ke/ads/studypool_standard_140_orders_92_5_badges_business_humanities_health_medical_economics_and_excel1684820769,Standard,92%,"KES 18,000"
"Studypool standard, 150+ orders, 91%, 1 badge (Humanities)",https://accountsplace.co.ke/ads/studypool_standard_150_orders_91_1_badge_humanities1684820723,Standard,91%,"KES 11,500"
"Studypool Top Tutor, 14 orders, 100%, 3 badges (Business, Humanities and Health Medical)",https://accountsplace.co.ke/ads/studypool_top_tutor_14_orders_100_3_badges_business_humanities_and_health_medical1684820692,Top Tutor,100%,"KES 48,000"
"Studypool Top Tutor, 350+ orders, rated 99%, 6 prime badges (Business, Humanities, WRITING, Health Medical, Economics, and Math). 75% of orders done are above $15",https://accountsplace.co.ke/ads/studypool_top_tutor_350_orders_rated_99_6_prime_badges_business_humanities_writing_health_medical_economics_and_math_75_of_orders_done_are_above_151684820660,Top Tutor,99%,"KES 118,000"
"🍁💵4WRITERS - College Level (1 TAKE). Completed over 2,000 orders ✔️✔️",https://accountsplace.co.ke/ads/4writers_college_level_1_take_completed_over_2000_orders1684820150,College,96,"KES 90,000"
🎖️🤑ESSAYSHARK KENYAN 💖🍁,https://accountsplace.co.ke/ads/essayshark_kenyan1684819959,High School,10/10,"KES 46,500"
"Studypool PARTNER Top Tutor, 26 questions, 96%, 2 key badges (Business and Health medical). Iko na $44 ndani. USA profile",https://accountsplace.co.ke/ads/studypool_partner_top_tutor_26_questions_96_2_key_badges_business_and_health_medical_iko_na_44_ndani_usa_profile1681539159,Top Tutor,96%,"KES 70,000"
"Homeworkmarket, completed 3000+ orders, rated 4.8, earned over 11M. Affordable",https://accountsplace.co.ke/ads/homeworkmarket_completed_3000_orders_rated_48_earned_over_11m_affordable1681539122,Used,4.8,"KES 55,000"
"Studypool standard, rated 93% after completing 150 orders, 4 key badges (Writing, Humanities, Science, and Math)",https://accountsplace.co.ke/ads/studypool_standard_rated_93_after_completing_150_orders_4_key_badges_writing_humanities_science_and_math1681539093,Standard,93%,"KES 22,000"
"Studypool PARTNER Top Tutor, 130+ orders, 98%, 4 prime badges (Business, Humanities, Health medical, and Economics). South Africa profile",https://accountsplace.co.ke/ads/studypool_partner_top_tutor_130_orders_98_4_prime_badges_business_humanities_health_medical_and_economics_south_africa_profile1681539055,Top Tutor,98%,"KES 120,000"
"Studypool PARTNER Top Tutor, 40 orders, 98%, 4 badges (Business, humanities, economics, and mathematics). SA profile",https://accountsplace.co.ke/ads/studypool_partner_top_tutor_40_orders_98_4_badges_business_humanities_economics_and_mathematics_sa_profile1681539025,Top Tutor,98%,"KES 94,000"
Academia Research Top Premium,https://accountsplace.co.ke/ads/academia_research_top_premium1681538433,Top Premium,9.47,"KES 200,000"
SCRIBIE REVIEW,https://accountsplace.co.ke/ads/scribie_review1681537683,Review,4.30/5.00,"KES 3,500"
Transcription staff.,https://accountsplace.co.ke/ads/transcription_staff1681535620,New,5,"KES 5,500"
Text broker USA Rated level 4 @43K,https://accountsplace.co.ke/ads/text_broker_usa_rated_level_4_at_43k1681535013,Used,Start 4,"KES 43,000"
Brandnew Writerbay beginner Kenyan profile,https://accountsplace.co.ke/ads/brandnew_writerbay_beginner_kenyan_profile1681533667,Beginner,5/5,"KES 97,000"
WRITERBAY BEGINNER KENYAN profile DONE 678,https://accountsplace.co.ke/ads/writerbay_beginner_kenyan_profile_done_6781681635255,Beginner,3.8,"KES 90,000"
textbroker level4 USA profile,https://accountsplace.co.ke/ads/textbroker_level4_usa_profile1681635134,new,new,"KES 45,000"
speechpad,https://accountsplace.co.ke/ads/speechpad1681634957,used,used,"KES 15,999"
